##########################################################################################
### MCD_v6.1 with climatology average solar scenario.
### Ls 100.0deg. Altitude 5.0 m ALS. Local time 12.0h (at longitude 0) 
### --------------------------------------------------------------------------------------
### Column 1 is East longitude (degrees)
### Columns 2+ are Temperature (K)
### Line 1 is North latitude (degrees)
### --------------------------------------------------------------------------------------
### Retrieved on: 2023-09-20T17:33:20.176646
### Mars Climate Database (c) LMD/OU/IAA/ESA/CNES
##########################################################################################
---- ||   -9.00000e+01   -8.61702e+01   -8.23404e+01   -7.85106e+01   -7.46809e+01   -7.08511e+01   -6.70213e+01   -6.31915e+01   -5.93617e+01   -5.55319e+01   -5.17021e+01   -4.78723e+01   -4.40426e+01   -4.02128e+01   -3.63830e+01   -3.25532e+01   -2.87234e+01   -2.48936e+01   -2.10638e+01   -1.72340e+01   -1.34043e+01   -9.57447e+00   -5.74468e+00   -1.91489e+00    1.91489e+00    5.74468e+00    9.57447e+00    1.34043e+01    1.72340e+01    2.10638e+01    2.48936e+01    2.87234e+01    3.25532e+01    3.63830e+01    4.02128e+01    4.40426e+01    4.78723e+01    5.17021e+01    5.55319e+01    5.93617e+01    6.31915e+01    6.70213e+01    7.08511e+01    7.46809e+01    7.85106e+01    8.23404e+01    8.61702e+01    9.00000e+01
-----------------------------------
-134 ||    1.41168e+02    1.41142e+02    1.41618e+02    1.42657e+02    1.44000e+02    1.44772e+02    1.44918e+02    1.45186e+02    1.45709e+02    1.46528e+02    1.48468e+02    1.50300e+02    1.51426e+02    1.54859e+02    1.58941e+02    1.65295e+02    1.67601e+02    1.66891e+02    1.61573e+02    1.56031e+02    1.56049e+02    1.57506e+02    1.62666e+02    1.67358e+02    1.73899e+02    1.79473e+02    1.82252e+02    1.87773e+02    1.83973e+02    1.86498e+02    1.80451e+02    1.68017e+02    1.63261e+02    1.67254e+02    1.66872e+02    1.69350e+02    1.77917e+02    1.82521e+02    1.85129e+02    1.86964e+02    1.88507e+02    1.93193e+02    1.97960e+02    2.05909e+02    2.12591e+02    2.09790e+02    2.05701e+02    2.01368e+02
-128 ||    1.41168e+02    1.40992e+02    1.41504e+02    1.42636e+02    1.44097e+02    1.45071e+02    1.45051e+02    1.45227e+02    1.45311e+02    1.45760e+02    1.47293e+02    1.49557e+02    1.50177e+02    1.54881e+02    1.59963e+02    1.63701e+02    1.66710e+02    1.69051e+02    1.69385e+02    1.66934e+02    1.64890e+02    1.65203e+02    1.69534e+02    1.72689e+02    1.73794e+02    1.75733e+02    1.76373e+02    1.81268e+02    1.86724e+02    1.86969e+02    1.74742e+02    1.65012e+02    1.65630e+02    1.65203e+02    1.66760e+02    1.68946e+02    1.76937e+02    1.80912e+02    1.83762e+02    1.86296e+02    1.88932e+02    1.93916e+02    1.99138e+02    2.09928e+02    2.13822e+02    2.10927e+02    2.06731e+02    2.01368e+02
-122 ||    1.41168e+02    1.41010e+02    1.41380e+02    1.42660e+02    1.44111e+02    1.45052e+02    1.45150e+02    1.45210e+02    1.45396e+02    1.45836e+02    1.46633e+02    1.48008e+02    1.49472e+02    1.53799e+02    1.59836e+02    1.63250e+02    1.66745e+02    1.71797e+02    1.75646e+02    1.74747e+02    1.68587e+02    1.64748e+02    1.71353e+02    1.75608e+02    1.76874e+02    1.80903e+02    1.80433e+02    1.75898e+02    1.76058e+02    1.73550e+02    1.68422e+02    1.61727e+02    1.59468e+02    1.63997e+02    1.73402e+02    1.78428e+02    1.78796e+02    1.79992e+02    1.82787e+02    1.86813e+02    1.90663e+02    1.95470e+02    2.00315e+02    2.08615e+02    2.13081e+02    2.10738e+02    2.06771e+02    2.01368e+02
-117 ||    1.41168e+02    1.41506e+02    1.41327e+02    1.42586e+02    1.44081e+02    1.44946e+02    1.44957e+02    1.45172e+02    1.45485e+02    1.45899e+02    1.46931e+02    1.48523e+02    1.49433e+02    1.54450e+02    1.59815e+02    1.62821e+02    1.65929e+02    1.69012e+02    1.70179e+02    1.67610e+02    1.63831e+02    1.60711e+02    1.61215e+02    1.69493e+02    1.76340e+02    1.77006e+02    1.76093e+02    1.75533e+02    1.74319e+02    1.70706e+02    1.64335e+02    1.58434e+02    1.61177e+02    1.71117e+02    1.77341e+02    1.81988e+02    1.80911e+02    1.81304e+02    1.83425e+02    1.87665e+02    1.92155e+02    1.97288e+02    2.02211e+02    2.09482e+02    2.15501e+02    2.10575e+02    2.05995e+02    2.01368e+02
-111 ||    1.41168e+02    1.41268e+02    1.41350e+02    1.42455e+02    1.43918e+02    1.44895e+02    1.45147e+02    1.45325e+02    1.45609e+02    1.46188e+02    1.48225e+02    1.50555e+02    1.50448e+02    1.55237e+02    1.60152e+02    1.63934e+02    1.66798e+02    1.69069e+02    1.70270e+02    1.67846e+02    1.64709e+02    1.63520e+02    1.63426e+02    1.66804e+02    1.74502e+02    1.79648e+02    1.81089e+02    1.78391e+02    1.72978e+02    1.68735e+02    1.64149e+02    1.60105e+02    1.61342e+02    1.63529e+02    1.61771e+02    1.74655e+02    1.80715e+02    1.82628e+02    1.84707e+02    1.88522e+02    1.93402e+02    1.98595e+02    2.03741e+02    2.10514e+02    2.14882e+02    2.10485e+02    2.04667e+02    2.01368e+02
-105 ||    1.41168e+02    1.41160e+02    1.41373e+02    1.42309e+02    1.43869e+02    1.44906e+02    1.45274e+02    1.45393e+02    1.45539e+02    1.46385e+02    1.48069e+02    1.49839e+02    1.51476e+02    1.56564e+02    1.61933e+02    1.64790e+02    1.66467e+02    1.69848e+02    1.71947e+02    1.71077e+02    1.68437e+02    1.65696e+02    1.64391e+02    1.65607e+02    1.68180e+02    1.74724e+02    1.79520e+02    1.80699e+02    1.77632e+02    1.67967e+02    1.63183e+02    1.59157e+02    1.60365e+02    1.65477e+02    1.66496e+02    1.81549e+02    1.84069e+02    1.84492e+02    1.87168e+02    1.89943e+02    1.94937e+02    2.00174e+02    2.04946e+02    2.12084e+02    2.17266e+02    2.10638e+02    2.04105e+02    2.01368e+02
-100 ||    1.41168e+02    1.41174e+02    1.41356e+02    1.42140e+02    1.43700e+02    1.44862e+02    1.45397e+02    1.45583e+02    1.45772e+02    1.47276e+02    1.49839e+02    1.51371e+02    1.53361e+02    1.58913e+02    1.60529e+02    1.65647e+02    1.67870e+02    1.71952e+02    1.74374e+02    1.74449e+02    1.71848e+02    1.67757e+02    1.67432e+02    1.67533e+02    1.67840e+02    1.72071e+02    1.76503e+02    1.79685e+02    1.76840e+02    1.68994e+02    1.65749e+02    1.60273e+02    1.57482e+02    1.68401e+02    1.73377e+02    1.77656e+02    1.80926e+02    1.87484e+02    1.91687e+02    1.94070e+02    1.97845e+02    2.02744e+02    2.07180e+02    2.12294e+02    2.18106e+02    2.11111e+02    2.03224e+02    2.01368e+02
-094 ||    1.41168e+02    1.41221e+02    1.41297e+02    1.41899e+02    1.43496e+02    1.44777e+02    1.45378e+02    1.45640e+02    1.46035e+02    1.46489e+02    1.47822e+02    1.50593e+02    1.56121e+02    1.60568e+02    1.56068e+02    1.61891e+02    1.67756e+02    1.72756e+02    1.75229e+02    1.75828e+02    1.76695e+02    1.76147e+02    1.75095e+02    1.72684e+02    1.69858e+02    1.72765e+02    1.75275e+02    1.75303e+02    1.72327e+02    1.70655e+02    1.73001e+02    1.67660e+02    1.62131e+02    1.63064e+02    1.68190e+02    1.74091e+02    1.84544e+02    1.93010e+02    1.96704e+02    1.99337e+02    2.02222e+02    2.05855e+02    2.09665e+02    2.14222e+02    2.19390e+02    2.12084e+02    2.03228e+02    2.01368e+02
-088 ||    1.41168e+02    1.41177e+02    1.41242e+02    1.41676e+02    1.43252e+02    1.44717e+02    1.45386e+02    1.45616e+02    1.45884e+02    1.46222e+02    1.47668e+02    1.50750e+02    1.55344e+02    1.59213e+02    1.57448e+02    1.62391e+02    1.68034e+02    1.72801e+02    1.74974e+02    1.75709e+02    1.77423e+02    1.79572e+02    1.77816e+02    1.73513e+02    1.72316e+02    1.72965e+02    1.75059e+02    1.76764e+02    1.74990e+02    1.73488e+02    1.73983e+02    1.69368e+02    1.72685e+02    1.74974e+02    1.80716e+02    1.81886e+02    1.90219e+02    1.97585e+02    2.00763e+02    2.03433e+02    2.06195e+02    2.08932e+02    2.12083e+02    2.16496e+02    2.20153e+02    2.13212e+02    2.03211e+02    2.01368e+02
-082 ||    1.41168e+02    1.41175e+02    1.41235e+02    1.41543e+02    1.42962e+02    1.44455e+02    1.45342e+02    1.45666e+02    1.46254e+02    1.46314e+02    1.47212e+02    1.49428e+02    1.53275e+02    1.59026e+02    1.59292e+02    1.62728e+02    1.67482e+02    1.71553e+02    1.73659e+02    1.74205e+02    1.77121e+02    1.81443e+02    1.81353e+02    1.80208e+02    1.79044e+02    1.76984e+02    1.76912e+02    1.77177e+02    1.75171e+02    1.74185e+02    1.78334e+02    1.77695e+02    1.78892e+02    1.79320e+02    1.87394e+02    1.93841e+02    1.98510e+02    2.02446e+02    2.05718e+02    2.07636e+02    2.09750e+02    2.11680e+02    2.14278e+02    2.18566e+02    2.20835e+02    2.13616e+02    2.02152e+02    2.01368e+02
